date,event,ticker,strategy,regime,tag,experimental,exp,dte,short_k,long_k,credit,width,max_loss,spot,iv30,iv_rv,mark,pnl_per_spread,note
2026-07-19,OPEN,MU,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-28,39,765.0,720.0,15.78,45.0,29.22,848.95,,,,,theme=ai score=85.0
2026-07-19,OPEN,HPE,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-28,39,41.0,39.0,0.88,2.0,1.12,45.82,,,,,theme=ai score=72.6
2026-07-19,OPEN,CGNX,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-21,32,60.0,55.0,1.55,5.0,3.45,64.07,,,,,theme=robotics score=76.0
2026-07-19,OPEN,OUST,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-28,39,33.0,30.0,1.3,3.0,1.7,37.04,,,,,theme=robotics score=71.5
2026-07-19,OPEN,TER,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-28,39,290.0,285.0,1.95,5.0,3.05,322.36,,,,,theme=robotics score=68.8
2026-07-19,MARK,MU,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-28,39,765.0,720.0,15.78,45.0,29.22,848.95,,,69.53,-5375.0,
2026-07-19,MARK,HPE,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-28,39,41.0,39.0,0.88,2.0,1.12,45.82,,,2.58,-170.0,
2026-07-19,MARK,CGNX,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-21,32,60.0,55.0,1.55,5.0,3.45,64.07,,,3.5,-195.0,
2026-07-19,MARK,OUST,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-28,39,33.0,30.0,1.3,3.0,1.7,37.04,,,4.6,-330.0,
2026-07-19,MARK,TER,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-28,39,290.0,285.0,1.95,5.0,3.05,322.36,,,30.25,-2830.0,
2026-07-19,OPEN,STX,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-28,39,700.0,675.0,10.85,25.0,14.15,787.66,,,,,theme=ai score=78.3
2026-07-19,OPEN,HWM,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-28,39,240.0,235.0,1.23,5.0,3.77,272.43,,,,,theme=defense score=72.9
2026-07-19,OPEN,HEI,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-21,32,310.0,290.0,1.47,20.0,18.53,342.66,,,,,theme=defense score=66.2
2026-07-19,OPEN,GE,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-28,39,315.0,295.0,2.04,20.0,17.96,348.83,,,,,theme=defense score=64.7
2026-07-19,OPEN,LLY,BULL_PUT_SPREAD,BULL-NORMAL,QUALITY,False,2026-08-28,39,1060.0,1000.0,11.0,60.0,49.0,1179.11,,,,,theme=health score=80.4
