date,ticker,spot,dte30,iv30,put_skew30,dte60,iv60,rv20,iv_rv_spread
2026-07-21,SPY,742.09,30,0.0156,0.0469,58,0.0156,0.1166,-0.1009
2026-07-21,QQQ,696.06,30,0.0156,0.0469,58,0.0156,0.2434,-0.2277
2026-07-21,SMH,558.83,30,0.0156,0.0469,58,0.0156,0.5304,-0.5148
2026-07-21,GRID,177.08,30,0.0234,0.0391,58,0.4502,0.2976,-0.2741
2026-07-21,BOTZ,34.25,30,0.0234,0.0391,58,0.0234,0.3354,-0.3119
2026-07-21,ITA,229.27,30,0.0156,0.0469,58,0.0234,0.1936,-0.1779
2026-07-21,XLV,159.25,30,0.0156,0.0469,58,0.0156,0.2228,-0.2072
2026-07-21,MU,865.46,30,0.0156,0.0469,58,0.0156,1.043,-1.0274
2026-07-21,STX,802.45,30,0.0156,0.0469,58,0.0156,0.9366,-0.9209
2026-07-21,HPE,44.56,30,0.0234,0.1016,58,0.0234,0.6581,-0.6346
2026-07-21,NBIS,182.62,30,0.0156,0.0469,58,0.0313,1.1103,-1.0947
2026-07-21,CORZ,22.4,30,0.0234,0.1016,58,0.0156,0.7765,-0.7531
2026-07-21,BE,197.06,30,0.0234,0.0391,58,0.0234,1.2148,-1.1914
2026-07-21,STRL,650.22,30,0.0156,0.0469,58,0.0313,0.7746,-0.7589
2026-07-21,NVT,154.78,30,0.0313,0.0312,58,0.0234,0.5622,-0.5309
2026-07-21,MYRG,390.32,30,0.0234,0.0391,,,0.5557,-0.5322
2026-07-21,TLN,360.32,30,0.0234,0.0391,58,0.0156,0.5376,-0.5141
2026-07-21,CGNX,63.08,30,0.0313,0.0937,58,0.0234,0.5519,-0.5207
2026-07-21,OUST,34.77,30,0.0313,0.0937,58,0.0234,1.6649,-1.6336
2026-07-21,TER,333.76,30,0.0234,0.0391,58,0.0313,1.0406,-1.0172
2026-07-21,ROK,458.71,30,0.0156,0.0469,58,0.0938,0.3524,-0.3367
2026-07-21,NOVT,143.55,30,0.0234,0.0391,58,0.7456,0.5351,-0.5117
2026-07-21,HWM,271.98,30,0.0313,0.0937,58,0.0234,0.2161,-0.1848
2026-07-21,HEI,340.44,30,0.0234,0.0391,58,0.0156,0.2373,-0.2138
2026-07-21,GE,341.3,30,0.0234,0.0391,58,0.0156,0.2797,-0.2563
2026-07-21,ASTS,57.42,30,0.0313,0.0937,58,0.0313,1.2341,-1.2028
2026-07-21,SAIC,112.66,30,0.1993,-0.0743,58,0.0391,0.4038,-0.2045
2026-07-21,GH,148.07,30,0.0156,0.0469,58,0.0313,0.713,-0.6973
2026-07-21,LLY,1146.9,30,0.0156,0.0469,58,0.0156,0.3624,-0.3468
2026-07-21,NTRA,262.63,30,0.0313,0.0312,58,0.0234,0.504,-0.4727
2026-07-21,JNJ,248.82,30,0.0313,0.0937,58,0.0234,0.3222,-0.2909
2026-07-21,ILMN,184.68,30,0.0234,0.0391,58,0.0156,0.3981,-0.3747
2026-07-21,GEV,1079.18,30,0.0156,0.0469,58,0.0156,0.6086,-0.5929
2026-07-21,PLTR,134.85,30,0.0313,0.0312,58,0.0313,0.5562,-0.5249
2026-07-21,TSLA,369.57,30,0.0156,0.0469,58,0.0156,0.6014,-0.5858
2026-07-21,HOOD,99.28,30,0.0469,0.0156,58,0.0313,0.6784,-0.6315
2026-07-21,UBER,72.17,30,0.0313,0.0312,58,0.0234,0.427,-0.3958
